X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	
NaN	NaN	NaN	425.65	1024.1	NaN	304.22	62.224	NaN	295.23	1015.6	NaN	327.37	148.91	NaN
NaN	NaN	NaN	425.65	1024.1	NaN	304.22	62.224	NaN	295.23	1015.6	NaN	327.37	148.91	NaN
324.96	140.5	NaN	423.89	1024.4	NaN	NaN	NaN	NaN	297.63	1008	NaN	NaN	NaN	NaN
NaN	NaN	NaN	425.41	1024.6	NaN	305.43	61.203	NaN	296.37	1010.4	NaN	327.52	148.93	NaN
NaN	NaN	NaN	420.4	1025.7	NaN	306.78	64.913	NaN	301.98	1009.7	NaN	327.22	147.82	NaN
321.14	121.92	NaN	423.34	1025.5	NaN	NaN	NaN	NaN	299.27	1008.2	NaN	NaN	NaN	NaN
306.38	56.19	NaN	420.98	1026.4	NaN	295.41	174.01	NaN	296.52	1009.4	NaN	326.84	145.85	NaN
305.1	55.283	NaN	NaN	NaN	NaN	299.1	176.67	NaN	406.1	1025.9	NaN	328.27	149.8	NaN
320.48	117.41	NaN	NaN	NaN	NaN	297.95	176.67	NaN	407.57	1024.8	NaN	NaN	NaN	NaN
NaN	NaN	NaN	303.55	998.92	NaN	298.32	168.17	NaN	416.13	1019.8	NaN	328.66	148.55	NaN
324.39	128.64	NaN	305.72	1005.2	NaN	298.94	158.72	NaN	422.47	1019.1	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	297.52	148.87	NaN	NaN	NaN	NaN	NaN	NaN	NaN
323.21	123.75	NaN	NaN	NaN	NaN	301.48	153.37	NaN	NaN	NaN	NaN	NaN	NaN	NaN
322.59	122.76	NaN	NaN	NaN	NaN	299.47	147.51	NaN	NaN	NaN	NaN	NaN	NaN	NaN
322.59	122.76	NaN	NaN	NaN	NaN	299.57	147.87	NaN	NaN	NaN	NaN	NaN	NaN	NaN
324.04	131.8	NaN	NaN	NaN	NaN	299.13	144.89	NaN	NaN	NaN	NaN	NaN	NaN	NaN
319.6	110.54	NaN	NaN	NaN	NaN	296.93	138.51	NaN	NaN	NaN	NaN	NaN	NaN	NaN
320.67	120.61	NaN	NaN	NaN	NaN	295.95	134.34	NaN	NaN	NaN	NaN	NaN	NaN	NaN
320.63	122.03	NaN	NaN	NaN	NaN	294.47	132.29	NaN	NaN	NaN	NaN	327.24	1028.2	NaN
322.08	129.08	NaN	NaN	NaN	NaN	292.34	126.06	NaN	NaN	NaN	NaN	332.44	1030.2	NaN
322.08	129.08	NaN	NaN	NaN	NaN	292.34	126.06	NaN	NaN	NaN	NaN	332.64	1030.3	NaN
322.08	129.08	NaN	NaN	NaN	NaN	292.34	126.06	NaN	NaN	NaN	NaN	332.44	1030.2	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	290.71	117.34	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	290.3	118.49	NaN	NaN	NaN	NaN
NaN	NaN	NaN	338.11	1025.2	NaN	NaN	NaN	NaN	291.22	118.2	NaN	463.72	1015.7	NaN
318.13	126.9	NaN	336.49	1022.8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	452.8	1017.5	NaN
318.22	125.73	NaN	339.1	1024.7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	452.37	1017.7	NaN
319.67	132.3	NaN	338.49	1024.7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	456.42	1017.2	NaN
317.14	117.55	NaN	337.59	1023.6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	452.51	1019.2	NaN
317.19	118	NaN	337.59	1023.6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	453.08	1018.8	NaN
318.48	123.51	NaN	338.58	1022.9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	451.43	1020	NaN
319.05	125.87	NaN	337.17	1021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	448.65	1021.3	NaN
319.06	124.5	NaN	323.96	1011.8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	451.16	1020.3	NaN
318.78	122.49	NaN	319.97	1013.4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	450.14	1020.5	NaN
319.78	125.33	NaN	319.66	1009.9	NaN	278.57	932.95	NaN	421.92	1026.1	NaN	NaN	NaN	NaN
319.33	121.92	NaN	NaN	NaN	NaN	283.04	946.6	NaN	440.72	1023.4	NaN	NaN	NaN	NaN
322.41	134.75	NaN	NaN	NaN	NaN	281.98	948.18	NaN	444.16	1022.5	NaN	NaN	NaN	NaN
321.38	130.11	NaN	398.62	1032.5	NaN	279.02	930.53	NaN	NaN	NaN	NaN	447.26	1020.9	NaN
323.09	136.97	NaN	397.19	1022	NaN	279.02	927.87	NaN	NaN	NaN	NaN	449.64	1019.5	NaN
323.5	137.59	NaN	399.93	1032.7	NaN	278.44	926.38	NaN	NaN	NaN	NaN	448.33	1020.2	NaN
322.51	129.14	NaN	381.51	1024.7	NaN	285.11	941.96	NaN	NaN	NaN	NaN	452.91	1018.9	NaN
323.09	130.9	NaN	382.96	1023.6	NaN	285.44	940.07	NaN	NaN	NaN	NaN	449.97	1020.2	NaN
322.83	131.43	NaN	382	1023.5	NaN	285.63	940.35	NaN	NaN	NaN	NaN	452.44	1019.4	NaN
323.14	136.42	NaN	386.38	1022.7	NaN	285.13	937.31	NaN	NaN	NaN	NaN	455.28	1018.3	NaN
322.25	133.98	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
323.84	142.56	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	460.43	1016.7	NaN
324.48	144.96	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	461.51	1016.4	NaN
323.38	139.14	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	463.82	1016	NaN
323.83	140.22	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	464.19	1016.3	NaN
322.21	130.09	NaN	NaN	NaN	NaN	NaN	NaN	NaN	324.73	1009.3	NaN	463.82	1016.2	NaN
325.31	147.14	NaN	NaN	NaN	NaN	NaN	NaN	NaN	317.98	1006.6	NaN	462.56	1016.9	NaN
322.26	132.77	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	462.28	1017.1	NaN
323.99	140.48	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	461.97	1017.2	NaN
324.71	143.35	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	461.17	1017.9	NaN
324.69	143.13	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	461.21	1017.9	NaN
323.55	138.34	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	462.72	1017.7	NaN
321.02	125.89	NaN	NaN	NaN	NaN	NaN	NaN	NaN	258.22	918.85	NaN	461.19	1017.6	NaN
323.22	134.74	NaN	NaN	NaN	NaN	NaN	NaN	NaN	282.34	903.09	NaN	458.87	1018.7	NaN
322.66	129.56	NaN	NaN	NaN	NaN	NaN	NaN	NaN	284.44	902.35	NaN	460.74	1018.2	NaN
322.62	125.89	NaN	NaN	NaN	NaN	NaN	NaN	NaN	296.65	920.72	NaN	463.46	1017.6	NaN
324.29	131.25	NaN	410.79	1025.8	NaN	NaN	NaN	NaN	279.95	907.26	NaN	459.44	1017.9	NaN
322.43	118.45	NaN	257.44	905.4	NaN	NaN	NaN	NaN	350.06	920.39	NaN	465.3	1017	NaN
322.15	117.02	NaN	258.27	898.66	NaN	NaN	NaN	NaN	327.51	881.66	NaN	464.94	1017.6	NaN
321.74	114.31	NaN	258.81	895.92	NaN	NaN	NaN	NaN	335.08	886.56	NaN	466.08	1017.5	NaN
322.57	119.07	NaN	259.44	893.09	NaN	NaN	NaN	NaN	332.04	883.33	NaN	468.84	1016.7	NaN
323.66	121.37	NaN	260.21	893.43	NaN	NaN	NaN	NaN	328.3	879.99	NaN	468.21	1016.9	NaN
324.15	126.87	NaN	261.4	887.92	NaN	NaN	NaN	NaN	325.99	877.93	NaN	470.39	1015.6	NaN
324.16	126.85	NaN	261.4	887.92	NaN	NaN	NaN	NaN	325.99	877.93	NaN	470.39	1015.6	NaN
324.06	124.73	NaN	262.23	883.72	NaN	NaN	NaN	NaN	330.57	880.66	NaN	471.13	1015.1	NaN
323.66	118.56	NaN	262.98	883	NaN	NaN	NaN	NaN	331.9	881.29	NaN	471.66	1015.1	NaN
323.63	118.08	NaN	264.37	888.95	NaN	NaN	NaN	NaN	334.57	882.77	NaN	471.11	1015.1	NaN
332.96	199.62	NaN	264.93	887.73	NaN	323.76	118.98	NaN	332.9	881.08	NaN	471.9	1015.2	NaN
NaN	NaN	NaN	265.15	883.51	NaN	323.84	117.19	NaN	333.45	881.89	NaN	472.03	1015.7	NaN
